onset	duration	trial_type
2.0	1.0	words
3.0	1.0	words
4.0	1.0	words
5.0	1.0	words
6.0	1.0	words
7.0	1.0	words
8.0	1.0	words
9.0	1.0	words
10.0	1.0	words
11.0	1.0	words
18.0	1.0	words
19.0	1.0	words
20.0	1.0	words
21.0	1.0	words
22.0	1.0	words
23.0	1.0	words
24.0	1.0	words
25.0	1.0	words
26.0	1.0	words
27.0	1.0	words
34.0	1.0	natural_sounds
35.0	1.0	natural_sounds
36.0	1.0	natural_sounds
37.0	1.0	natural_sounds
38.0	1.0	natural_sounds
39.0	1.0	natural_sounds
40.0	1.0	natural_sounds
41.0	1.0	natural_sounds
42.0	1.0	natural_sounds
43.0	1.0	natural_sounds
50.0	1.0	words
51.0	1.0	words
52.0	1.0	words
53.0	1.0	words
54.0	1.0	words
55.0	1.0	words
56.0	1.0	words
57.0	1.0	words
58.0	1.0	words
59.0	1.0	words
66.0	1.0	music
68.0	1.0	music
70.0	1.0	music
72.0	1.0	music
74.0	1.0	music
82.0	1.0	music
83.0	1.0	music
84.0	1.0	music
85.0	1.0	music
86.0	1.0	music
87.0	1.0	words
88.0	1.0	words
89.0	1.0	words
90.0	1.0	words
91.0	1.0	words
98.0	1.0	words
99.0	1.0	words
100.0	1.0	words
101.0	1.0	words
102.0	1.0	words
103.0	2.0	scrambled_words
104.0	2.0	scrambled_words
105.0	2.0	scrambled_words
106.0	2.0	scrambled_words
107.0	2.0	scrambled_words
114.0	1.0	music
115.0	1.0	music
116.0	1.0	music
117.0	1.0	music
118.0	1.0	music
119.0	1.0	music
120.0	1.0	music
121.0	1.0	music
122.0	1.0	music
123.0	1.0	music
130.0	1.0	words
131.0	1.0	words
132.0	1.0	words
133.0	1.0	words
134.0	1.0	words
135.0	1.0	words
136.0	1.0	words
137.0	1.0	words
138.0	1.0	words
139.0	1.0	words
146.0	2.0	scrambled_words
147.0	2.0	scrambled_words
148.0	2.0	scrambled_words
149.0	2.0	scrambled_words
150.0	2.0	scrambled_words
151.0	1.0	words
152.0	1.0	words
153.0	1.0	words
154.0	1.0	words
155.0	1.0	words
162.0	1.0	words
164.0	1.0	words
166.0	1.0	words
168.0	1.0	words
170.0	1.0	words
178.0	1.0	natural_sounds
179.0	1.0	natural_sounds
180.0	1.0	natural_sounds
181.0	1.0	natural_sounds
182.0	1.0	natural_sounds
183.0	1.0	natural_sounds
184.0	1.0	natural_sounds
185.0	1.0	natural_sounds
186.0	1.0	natural_sounds
187.0	1.0	natural_sounds
