onset	duration	trial_type
5.0	10.0	visual_type_pseudo_long_complex
15.0	10.0	visual_type_pseudo_short_simple
25.0	10.0	visual_type_pseudo_long_simple
35.0	11.0	visual_type_real_short_low_complex
46.0	9.0	visual_type_real_long_high_simple
55.0	9.5	visual_type_real_long_low_complex
64.5	10.0	visual_type_real_short_low_simple
74.5	11.0	visual_type_real_short_high_complex
85.5	10.5	visual_type_pseudo_short_complex
96.0	9.0	visual_type_real_short_high_simple
105.0	9.5	visual_type_real_long_high_complex
114.5	10.5	visual_type_real_long_low_simple
140.0	10.0	audio_type_pseudo_short_complex
150.0	10.0	audio_type_real_long_high_simple
160.0	10.0	audio_type_pseudo_short_simple
170.0	10.5	audio_type_real_long_high_complex
180.5	9.0	audio_type_real_long_low_complex
189.5	11.0	audio_type_pseudo_long_simple
200.5	9.5	audio_type_real_short_low_complex
210.0	11.0	audio_type_real_short_high_complex
221.0	9.5	audio_type_real_short_high_simple
230.5	10.5	audio_type_real_long_low_simple
241.0	9.0	audio_type_real_short_low_simple
250.0	10.0	audio_type_pseudo_long_complex
275.0	6.0	audio_speech_real_short_low_simple
281.0	4.0	audio_speech_pseudo_long_simple
285.0	4.5	audio_speech_pseudo_long_complex
289.5	5.5	audio_speech_real_short_high_simple
295.0	5.0	audio_speech_real_long_low_simple
300.0	5.0	audio_speech_real_short_low_complex
305.0	4.5	audio_speech_real_long_high_complex
309.5	4.0	audio_speech_pseudo_short_simple
313.5	5.0	audio_speech_real_short_high_complex
318.5	5.5	audio_speech_pseudo_short_complex
324.0	6.0	audio_speech_real_long_high_simple
330.0	5.0	audio_speech_real_long_low_complex
350.0	6.0	visual_speech_pseudo_short_simple
356.0	4.0	visual_speech_real_short_high_simple
360.0	5.0	visual_speech_real_short_low_complex
365.0	5.0	visual_speech_real_long_high_complex
370.0	5.5	visual_speech_real_short_low_simple
375.5	4.5	visual_speech_real_long_low_complex
380.0	4.5	visual_speech_pseudo_long_simple
384.5	5.5	visual_speech_pseudo_short_complex
390.0	4.0	visual_speech_real_long_high_simple
394.0	5.0	visual_speech_real_long_low_simple
399.0	6.0	visual_speech_real_short_high_complex
405.0	5.0	visual_speech_pseudo_long_complex
