onset	duration	trial_type
2.0	1.0	music
3.0	1.0	music
4.0	1.0	music
5.0	1.0	music
6.0	1.0	music
7.0	1.0	music
8.0	1.0	music
9.0	1.0	music
10.0	1.0	music
11.0	1.0	music
18.0	1.0	words
19.0	1.0	words
20.0	1.0	words
21.0	1.0	words
22.0	1.0	words
23.0	1.0	words
24.0	1.0	words
25.0	1.0	words
26.0	1.0	words
27.0	1.0	words
34.0	1.0	natural_sounds
35.0	1.0	natural_sounds
36.0	1.0	natural_sounds
37.0	1.0	natural_sounds
38.0	1.0	natural_sounds
39.0	1.0	natural_sounds
40.0	1.0	natural_sounds
41.0	1.0	natural_sounds
42.0	1.0	natural_sounds
43.0	1.0	natural_sounds
50.0	1.0	words
51.0	1.0	words
52.0	1.0	words
53.0	1.0	words
54.0	1.0	words
55.0	1.0	words
56.0	1.0	words
57.0	1.0	words
58.0	1.0	words
59.0	1.0	words
66.0	2.0	scrambled_words
68.0	2.0	scrambled_words
70.0	2.0	scrambled_words
72.0	2.0	scrambled_words
74.0	2.0	scrambled_words
82.0	1.0	words
83.0	1.0	words
84.0	1.0	words
85.0	1.0	words
86.0	1.0	words
87.0	1.0	words
88.0	1.0	words
89.0	1.0	words
90.0	1.0	words
91.0	1.0	words
98.0	1.0	words
99.0	1.0	words
100.0	1.0	words
101.0	1.0	words
102.0	1.0	words
103.0	1.0	words
104.0	1.0	words
105.0	1.0	words
106.0	1.0	words
107.0	1.0	words
114.0	1.0	music
115.0	1.0	music
116.0	1.0	music
117.0	1.0	music
118.0	1.0	music
119.0	1.0	music
120.0	1.0	music
121.0	1.0	music
122.0	1.0	music
123.0	1.0	music
130.0	1.0	natural_sounds
131.0	1.0	natural_sounds
132.0	1.0	natural_sounds
133.0	1.0	natural_sounds
134.0	1.0	natural_sounds
135.0	1.0	natural_sounds
136.0	1.0	natural_sounds
137.0	1.0	natural_sounds
138.0	1.0	natural_sounds
139.0	1.0	natural_sounds
146.0	1.0	words
147.0	1.0	words
148.0	1.0	words
149.0	1.0	words
150.0	1.0	words
151.0	1.0	words
152.0	1.0	words
153.0	1.0	words
154.0	1.0	words
155.0	1.0	words
162.0	2.0	scrambled_words
164.0	2.0	scrambled_words
166.0	2.0	scrambled_words
168.0	2.0	scrambled_words
170.0	2.0	scrambled_words
178.0	1.0	words
179.0	1.0	words
180.0	1.0	words
181.0	1.0	words
182.0	1.0	words
183.0	1.0	words
184.0	1.0	words
185.0	1.0	words
186.0	1.0	words
187.0	1.0	words
